node	mutation_occurred	variant_name	successors
713	False	a_b_c	[688, 399]
216	True	a_b_c_78	[327]
367	False	a_b_c	[158]
178	True	a_b_c_79	[942, 219, 623]
57	False	a_b_c	[763]
880	True	a_b_c_2_40_80	[]
240	True	a_b_c_81	[419]
312	True	a_b_l_z_82	[288, 65]
720	True	a_b_l_z_83	[457, 208]
239	True	a_b_l_z_43_84	[]
950	False	a_b_l_z	[236, 829, 770, 415]
814	False	a_b_l_z	[]
798	False	a_b_l_z_5_44	[339]
20	True	a_b_l_z_5_44_85	[]
996	False	a_b_l_z_5_44	[556, 24]
584	True	a_b_l_z_5_44_86	[45, 88]
409	False	a_b_l_z_5_44	[]
196	True	a_b_l_z_5_87	[132]
643	False	a_b_l_z_5	[]
4	False	a_b_l_z_5	[251, 58, 602]
110	True	a_b_l_z_5_88	[192]
703	True	a_b_l_z_5_89	[576]
268	False	a_b_l_z_5	[980, 569, 759]
380	False	a_b_l_z_5	[719, 740]
153	True	a_b_l_z_5_90	[]
518	False	a_b_l_z_5	[32]
381	True	a_b_l_45_91	[677, 324]
897	False	a_b_l_45	[317]
108	False	a_b_l	[750]
951	False	a_b_l	[154, 608]
515	True	a_b_l_92	[326]
221	False	a_b_l_46	[64]
214	False	a_b_l_46	[551]
847	False	a_b_l	[]
624	True	a_b_l_A_47_93	[]
807	False	a_b_l_A_47	[]
776	False	a_b_l_A_47	[61]
701	False	a_b_l_A	[]
346	False	a_b_l_B_8	[982]
654	False	a_b_l_B	[468]
904	True	a_b_l_B_9_49_94	[]
715	False	a_b_d_n_15	[]
211	False	a_b_d_n_15	[]
121	True	a_b_d_n_15_95	[]
558	False	a_b_d_n_15	[]
683	False	a_e_H_16_53	[813, 447, 228, 384, 352, 280]
479	True	a_e_H_16_53_96	[389, 143, 765, 102, 514, 549, 412]
349	False	a_e_H_16_53	[]
242	False	a_e_H_16_53	[190, 626]
198	False	a_e_H_16_53	[]
385	False	a_e_H_16_54	[622, 232, 704, 193]
512	True	a_e_H_16_54_97	[]
43	False	a_e_H_55	[265]
893	False	a_e_H_55	[568, 207]
806	True	a_e_H_55_98	[]
517	True	a_e_H_55_99	[]
905	False	a_e_H_55	[]
687	False	a_e_H	[]
595	True	a_e_H_100	[107]
613	False	a_e_H	[89]
637	True	a_e_H_101	[]
414	True	a_e_H_102	[]
220	False	a_e_H	[]
795	True	a_e_H_56_103	[]
541	False	a_e_17	[485, 321, 134]
782	True	a_e_17_104	[998, 482]
392	True	a_e_17_105	[570, 812, 761, 405]
548	False	a_e_17	[755, 470]
141	False	a_e_17_58	[]
738	False	a_e_17_58	[]
972	True	a_e_17_58_106	[]
636	False	a_e_I_18	[31, 686]
614	False	a_e	[14, 52, 177]
788	False	a_e	[]
658	True	a_e_107	[]
451	False	a_e_61	[]
148	True	a_e_61_108	[]
203	True	a_K_109	[]
149	True	a_K_110	[]
955	True	a_K_111	[167]
416	False	a_K	[802]
166	True	a_K_112	[]
350	False	a_K	[710]
945	False	a	[]
809	False	a_g_O_21_67	[793, 756, 853, 138]
199	False	a_g_22	[499]
481	False	a_g_22	[]
581	False	a_g_22	[241]
103	False	a_g_22	[895, 724]
377	False	a_g_22	[]
796	False	a_g_r_69	[]
194	False	a	[]
471	False	a_b_Z	[562]
365	False	a_b_Z	[]
244	False	a_b	[]
9	False	a_b	[536]
913	True	a_b_113	[202]
477	False	a_b_76	[465, 550]
309	False	a_b_76	[559]
302	False	a_b_36	[858]
54	True	a_b_36_114	[]
56	True	a_b_36_115	[11]
593	True	a_b_36_116	[634, 38]
647	False	a_b	[571]
673	False	a_b_c_j	[115]
762	False	a_b_c_j	[675]
572	False	a_b_c_j	[281]
186	True	a_b_c_j_117	[99]
362	True	a_b_c_j_118	[717]
688	True	a_b_c_119	[]
399	True	a_b_c_120	[]
327	False	a_b_c_78	[]
158	False	a_b_c	[]
942	False	a_b_c_79	[774]
219	False	a_b_c_79	[]
623	True	a_b_c_79_121	[]
763	False	a_b_c	[]
419	False	a_b_c_81	[]
288	False	a_b_l_z_82	[284, 305, 594, 30, 285]
65	False	a_b_l_z_82	[]
457	False	a_b_l_z_83	[852, 237, 264]
208	True	a_b_l_z_83_122	[]
236	False	a_b_l_z	[16]
829	True	a_b_l_z_123	[943]
770	False	a_b_l_z	[]
415	False	a_b_l_z	[965, 340, 10, 111, 337, 736]
339	True	a_b_l_z_5_44_124	[426, 885]
556	False	a_b_l_z_5_44	[]
24	False	a_b_l_z_5_44	[]
45	False	a_b_l_z_5_44_86	[]
88	True	a_b_l_z_5_44_86_125	[161]
132	True	a_b_l_z_5_87_126	[]
251	True	a_b_l_z_5_127	[]
58	True	a_b_l_z_5_128	[267, 691]
602	False	a_b_l_z_5	[71, 187, 323]
192	True	a_b_l_z_5_88_129	[911]
576	False	a_b_l_z_5_89	[631, 903]
980	True	a_b_l_z_5_130	[867]
569	False	a_b_l_z_5	[]
759	False	a_b_l_z_5	[]
719	False	a_b_l_z_5	[]
740	False	a_b_l_z_5	[188]
32	False	a_b_l_z_5	[]
677	False	a_b_l_45_91	[390, 508]
324	False	a_b_l_45_91	[299]
317	False	a_b_l_45	[]
750	False	a_b_l	[]
154	False	a_b_l	[]
608	True	a_b_l_131	[]
326	False	a_b_l_92	[999]
64	False	a_b_l_46	[]
551	True	a_b_l_46_132	[]
61	True	a_b_l_A_47_133	[]
